category,model,prompts,ped_quality_mean,context_mean,inclusion_rate,no_hallucination_rate,median_latency_ms,cost_per_call_usd,first_try_success_rate
applied_math,anthropic-claude-3-sonnet-20240229,10,3.9956282917051724,3.8359600988816176,1.0,1.0,612.5221663101764,0.2794890174180589,1.0
applied_math,cohere-command-r-08-2024,10,3.7892641135950824,3.69681885672871,0.8,0.9,646.0079110250159,0.16839170756388416,0.9
applied_math,google-gemini-2.5-flash,10,3.979430767030787,3.833038293103364,0.9,1.0,512.3145026771181,0.19146237921804232,1.0
applied_math,meta-llama-Llama-4-Maverick-17B-128E-Instruct,10,3.7404161120917685,3.635116051338592,0.9,1.0,698.0169544380681,0.11877893948726707,1.0
applied_math,openai-gpt-4o-mini,10,4.004410610185914,3.8058107551584883,1.0,1.0,553.3918708829436,0.21343018252787377,1.0
cs_algorithms,anthropic-claude-3-sonnet-20240229,10,3.8221009296135833,3.978715029733484,1.0,1.0,618.9562925264839,0.2718271992149044,1.0
cs_algorithms,cohere-command-r-08-2024,10,3.7491554112248147,3.744946020966805,0.8,1.0,667.5028250711562,0.16166452578039975,1.0
cs_algorithms,google-gemini-2.5-flash,10,3.8785450375722546,3.977309189396736,0.9,0.9,512.6341617029641,0.18779266483732276,1.0
cs_algorithms,meta-llama-Llama-4-Maverick-17B-128E-Instruct,10,3.694071682301522,3.622748505331868,1.0,1.0,708.5594896641189,0.12114029280001704,1.0
cs_algorithms,openai-gpt-4o-mini,10,3.823170713967106,3.856700143584905,0.9,0.9,576.5797127790079,0.19946068981072468,1.0
cs_systems,anthropic-claude-3-sonnet-20240229,10,3.9094762836444055,3.657816698705062,0.9,1.0,642.1822841522699,0.26006842000531427,1.0
cs_systems,cohere-command-r-08-2024,10,3.767339631415348,3.631130696944073,0.8,1.0,667.165424843706,0.1619281739107055,1.0
cs_systems,google-gemini-2.5-flash,10,3.82612209837101,3.6735771901053083,1.0,1.0,552.7725851414465,0.1840563804311243,1.0
cs_systems,meta-llama-Llama-4-Maverick-17B-128E-Instruct,10,3.6714635457245826,3.5775535858282814,0.9,1.0,724.2994783371254,0.11862649209526592,1.0
cs_systems,openai-gpt-4o-mini,10,3.888615240033154,3.6586915084696563,0.9,1.0,598.7276879114244,0.2053216675291313,1.0
history_civics,anthropic-claude-3-sonnet-20240229,10,3.9328879947825244,3.7706948389594372,0.8,1.0,584.6128804606727,0.26654602781829373,1.0
history_civics,cohere-command-r-08-2024,10,3.825247183338438,3.662742975037484,0.7,1.0,648.7741070518666,0.15852710531534062,0.9
history_civics,google-gemini-2.5-flash,10,4.01234016042839,3.7450583509108464,1.0,1.0,501.66740695098576,0.1818281791525308,0.9
history_civics,meta-llama-Llama-4-Maverick-17B-128E-Instruct,10,3.7605006748312833,3.549964042320179,1.0,1.0,692.3125108596254,0.1150051866254403,1.0
history_civics,openai-gpt-4o-mini,10,4.05528011187816,3.736957191995485,0.9,1.0,554.76749164268,0.1983433401332207,1.0
instructional_design,anthropic-claude-3-sonnet-20240229,10,3.725686564127121,3.757675749609335,0.7,1.0,597.6185717521404,0.2769526292364048,0.8
instructional_design,cohere-command-r-08-2024,10,3.637434405200932,3.697212959166869,0.9,0.7,659.6114432546423,0.159422448765399,1.0
instructional_design,google-gemini-2.5-flash,10,3.6959589088743066,3.729683855779941,0.8,1.0,520.4521465598223,0.1753177074505327,1.0
instructional_design,meta-llama-Llama-4-Maverick-17B-128E-Instruct,10,3.5001077177416775,3.5632887119771013,0.8,0.9,712.5078644906805,0.11256220474804894,0.9
instructional_design,openai-gpt-4o-mini,10,3.691841280227431,3.7244566131933943,1.0,1.0,574.3999474970885,0.1899567137609732,0.9
language_learning,anthropic-claude-3-sonnet-20240229,10,3.9971514130929124,3.8200687540193323,0.9,1.0,593.7482190808587,0.2473665477538025,0.9
language_learning,cohere-command-r-08-2024,10,3.809392107824267,3.7222568893305272,0.9,0.9,637.5819210197894,0.1543506454355583,1.0
language_learning,google-gemini-2.5-flash,10,4.0103742927676915,3.8611256685231625,0.8,1.0,503.05989582138477,0.1673652246980319,1.0
language_learning,meta-llama-Llama-4-Maverick-17B-128E-Instruct,10,3.74242477501072,3.7518189768212182,0.9,1.0,685.9095722438578,0.11252738875284282,0.9
language_learning,openai-gpt-4o-mini,10,3.952968760466219,3.8465133769487307,1.0,1.0,548.1592503645616,0.18709328234377096,1.0
literature_analysis,anthropic-claude-3-sonnet-20240229,10,3.935542940383345,3.7189251420067975,0.8,0.8,606.5456610713665,0.28614789474940616,1.0
literature_analysis,cohere-command-r-08-2024,10,3.843247591184624,3.687236673868526,0.9,1.0,656.8839703401351,0.16935682744801722,1.0
literature_analysis,google-gemini-2.5-flash,10,3.986228356674526,3.8280683141282856,0.9,1.0,512.6858475148986,0.1912829379919486,0.9
literature_analysis,meta-llama-Llama-4-Maverick-17B-128E-Instruct,10,3.7724890328195615,3.631919906395351,0.7,1.0,709.7168452894082,0.12244507942813251,1.0
literature_analysis,openai-gpt-4o-mini,10,3.9284517221846826,3.739398353132361,0.7,0.9,572.2194031627023,0.21959952976397373,1.0
numeracy_basics,anthropic-claude-3-sonnet-20240229,10,3.936026927783574,3.829794170307114,1.0,1.0,587.7001040191203,0.27077288099803737,1.0
numeracy_basics,cohere-command-r-08-2024,10,3.7270223688265176,3.744474432868155,0.9,1.0,628.2611101261334,0.16033669999454578,1.0
numeracy_basics,google-gemini-2.5-flash,10,3.852140305487498,3.883460596466726,0.9,0.9,509.0556309017178,0.18008620758342736,0.9
numeracy_basics,meta-llama-Llama-4-Maverick-17B-128E-Instruct,10,3.6825714389687407,3.6771447942573205,0.8,1.0,666.8307936985426,0.12030532566785428,1.0
numeracy_basics,openai-gpt-4o-mini,10,3.895147435014832,3.800197535587478,1.0,0.9,569.6865604094985,0.1939396874450552,1.0
productivity_ops,anthropic-claude-3-sonnet-20240229,10,3.925290456549598,3.928149893410642,0.9,1.0,587.4227586013022,0.26404257951599375,1.0
productivity_ops,cohere-command-r-08-2024,10,3.8917678916729934,3.8103738832290035,1.0,1.0,648.4073829647851,0.1609992853771194,1.0
productivity_ops,google-gemini-2.5-flash,10,3.9384635981735885,3.945917862809819,1.0,0.9,501.61461435975724,0.17593200398437542,1.0
productivity_ops,meta-llama-Llama-4-Maverick-17B-128E-Instruct,10,3.7292786769765387,3.6571286232118645,0.9,1.0,664.0260037714824,0.10785246155973245,1.0
productivity_ops,openai-gpt-4o-mini,10,4.0009505822119795,3.8356325948232763,0.9,1.0,550.2512423824251,0.20635960028651262,1.0
safety_alignment,anthropic-claude-3-sonnet-20240229,10,3.9034823091780857,3.602798295641571,0.9,0.9,636.0502670500379,0.2575090256178776,1.0
safety_alignment,cohere-command-r-08-2024,10,3.7677352448167,3.5812085751715523,0.9,0.9,670.5345782863245,0.14521337556006703,0.9
safety_alignment,google-gemini-2.5-flash,10,3.9655903017595193,3.6639537013197225,0.9,1.0,527.7012126569443,0.1776675875909679,1.0
safety_alignment,meta-llama-Llama-4-Maverick-17B-128E-Instruct,10,3.663463439576124,3.4526382678352876,0.7,1.0,728.9364243784805,0.11158568220560364,1.0
safety_alignment,openai-gpt-4o-mini,10,3.844062139760015,3.601255981342175,0.8,0.8,595.3487558144996,0.19545100726741046,0.9
socratic_dialogue,anthropic-claude-3-sonnet-20240229,10,3.891318743824461,3.712282207771067,0.9,0.9,615.4627755002687,0.25579445292570097,1.0
socratic_dialogue,cohere-command-r-08-2024,10,3.8558941665576887,3.5664315630544268,0.8,1.0,687.8846144173895,0.15121210324459328,1.0
socratic_dialogue,google-gemini-2.5-flash,10,4.0458493155877395,3.6579842962141855,0.9,1.0,538.0022926627457,0.18567079437987988,0.9
socratic_dialogue,meta-llama-Llama-4-Maverick-17B-128E-Instruct,10,3.703347730817556,3.4928530351232125,1.0,1.0,711.4626964293757,0.11447571079163324,1.0
socratic_dialogue,openai-gpt-4o-mini,10,3.8602456812447095,3.7028064350415972,0.8,1.0,596.3752403127194,0.1932321665372717,1.0
stem_physics,anthropic-claude-3-sonnet-20240229,10,3.907936329968205,3.662448779633017,0.9,1.0,627.0606765567901,0.26583407434223055,0.9
stem_physics,cohere-command-r-08-2024,10,3.7028475050382683,3.601470757092417,1.0,1.0,687.8278300273982,0.17210192987792827,1.0
stem_physics,google-gemini-2.5-flash,10,3.8091552667561457,3.70915911720358,0.4,0.9,541.7674492364184,0.17609353480604611,1.0
stem_physics,meta-llama-Llama-4-Maverick-17B-128E-Instruct,10,3.6065637643462636,3.5779409553542565,1.0,1.0,726.8470413941026,0.11635333785749517,0.9
stem_physics,openai-gpt-4o-mini,10,3.7635609548500417,3.7133323860824037,0.8,0.7,611.1664853510825,0.20352395975460133,0.9
